stocks,weights,corr_min,corr_max,corr_mean,corr_std,return,sigma,sharpe,information,modigliani,config
DUK//EMN//LUV//LYB//PH//PWR//WYNN//XLNX,0.5788541484860721//0.02444654473264054//0.22030237221796412//0.038804126875724286//0.03426928788999146//0.0723969765552863//0.016624875750329383//0.014301667491991868,"[0.5788541484860721, 0.02444654473264054, 0.22030237221796412, 0.038804126875724286, 0.03426928788999146, 0.0723969765552863, 0.016624875750329383, 0.014301667491991868]",-0.6348818984004936,0.9078217727757424,0.3534708793029226,0.468058243062121,0.4474349530721596,0.1653971929895685,2.651405051957669,1.904350020842212,RPS_sp500_KMEANS_clustering_50_HRP_weight_return
AEE//AFL//CERN//CHK//CL//DTE//ES//GPS//JWN//KSS//LH//MO//PGR//PSA//RE//VNO//VRSK,0.021365809313389644//0.007430047323281685//0.01996410439347191//0.0014739833723001637//0.14051701699256597//0.038988022367235906//0.012131547017721135//0.0010640515770513471//0.0025294609675204148//0.0008559268807892365//0.008635920852970628//0.032479243649710776//0.007085406543369588//0.00840176186325777//0.11623084705396174//0.5671982130922353//0.013648636739166898,"[0.021365809313389644, 0.007430047323281685, 0.01996410439347191, 0.0014739833723001637, 0.14051701699256597, 0.038988022367235906, 0.012131547017721135, 0.0010640515770513471, 0.0025294609675204148, 0.0008559268807892365, 0.008635920852970628, 0.032479243649710776, 0.007085406543369588, 0.00840176186325777, 0.11623084705396174, 0.5671982130922353, 0.013648636739166898]",-0.6848424106747325,0.9550432820410684,0.1445430505614863,0.4788079715137424,-0.2521090789034981,0.1910423153456154,-1.3662369953552205,-1.067535808671558,RPS_sp500_KMEANS_clustering_50_HRP_weight_return
A//ADS//ALXN//APTV//CHRW//FCX//FLR//FMC//GILD//HOG//HOLX//HON//HPE//KEY//LEG//LOW//MHK//MPC//NAVI//PAYX//PPL//RCL//RJF//ROK//ROP//SCHW//SYK//TGT//TIF//TMO//TPR//TRIP//VZ//XOM//ZION,0.0065580915405403055//0.0036599869062181856//0.006685600992088739//0.0014164330486405256//0.013561446293561394//0.013979723852491271//0.0007334157028135455//0.01074346487271297//0.03787982959683955//0.01150464685110616//0.011233701826973561//0.014609840720338082//0.011079659871848994//0.023004675000984007//0.04580239584918588//0.004709611002036536//0.00636284805114776//0.0023420095308923773//0.045728298369535764//0.23592897268480822//0.1206715589308473//0.029909171342031807//0.034172597136925775//0.006661724803345631//0.013003971536161852//0.023153797797457916//0.00841783380244155//0.025930838546001523//0.0048737777005292094//0.009773314346318104//0.02207744603059953//0.003569908317516495//0.15532349262343093//0.019083731220674235//0.015852183300954312,"[0.0065580915405403055, 0.0036599869062181856, 0.006685600992088739, 0.0014164330486405256, 0.013561446293561394, 0.013979723852491271, 0.0007334157028135455, 0.01074346487271297, 0.03787982959683955, 0.01150464685110616, 0.011233701826973561, 0.014609840720338082, 0.011079659871848994, 0.023004675000984007, 0.04580239584918588, 0.004709611002036536, 0.00636284805114776, 0.0023420095308923773, 0.045728298369535764, 0.23592897268480822, 0.1206715589308473, 0.029909171342031807, 0.034172597136925775, 0.006661724803345631, 0.013003971536161852, 0.023153797797457916, 0.00841783380244155, 0.025930838546001523, 0.0048737777005292094, 0.009773314346318104, 0.02207744603059953, 0.003569908317516495, 0.15532349262343093, 0.019083731220674235, 0.015852183300954312]",-0.8697898112817052,0.9632342837674264,0.3501652785553892,0.4264577522971674,-0.1335892455034378,0.2365072958755066,-0.6024729384181097,-0.564025811733683,RPS_sp500_KMEANS_clustering_50_HRP_weight_return
AAP//ADBE//ALL//AMP//AMT//COG//COP//CPB//DRI//ECL//ED//FAST//FBHS//FL//GE//HP//HRB//HSIC//IQV//LLY//MRK//MTD//NBL//PEP//PHM//REGN//SPGI//SRCL//STT//SYF//UAA//WLTW//YUM,0.02566991434106861//0.0023360095151515876//0.005315617399962561//0.008724569708939261//0.04521395360789513//0.03961850274057944//0.04185392951056904//0.0038319136462653335//0.015449422026425502//0.003710836076276326//0.156269811407101//0.1422280943474319//0.003190349178261077//0.0029882174687012354//0.0036261422284035983//0.011428928332198513//0.10404263926668922//0.0258640284155229//0.0012884446116656564//0.029179284445339158//0.006733966177825459//0.0021278656728742043//0.009402126373713519//0.23093062454751645//0.034017942681550666//0.007050872148584822//0.0023375122151180093//0.00869168407241857//0.012569019518030888//0.00771455812528338//0.0007602836029095437//0.0028334496366449703//0.002999486953082514,"[0.02566991434106861, 0.0023360095151515876, 0.005315617399962561, 0.008724569708939261, 0.04521395360789513, 0.03961850274057944, 0.04185392951056904, 0.0038319136462653335, 0.015449422026425502, 0.003710836076276326, 0.156269811407101, 0.1422280943474319, 0.003190349178261077, 0.0029882174687012354, 0.0036261422284035983, 0.011428928332198513, 0.10404263926668922, 0.0258640284155229, 0.0012884446116656564, 0.029179284445339158, 0.006733966177825459, 0.0021278656728742043, 0.009402126373713519, 0.23093062454751645, 0.034017942681550666, 0.007050872148584822, 0.0023375122151180093, 0.00869168407241857, 0.012569019518030888, 0.00771455812528338, 0.0007602836029095437, 0.0028334496366449703, 0.002999486953082514]",-0.9223579210208996,0.972187484304336,0.2714702331797887,0.4768357388803307,0.0756414799195388,0.1860730062354513,0.3586843748581461,0.3248529429421458,RPS_sp500_KMEANS_clustering_50_HRP_weight_return
AAL//ADSK//AMGN//BAC//BEN//BLK//C//CAT//CTL//CTXS//D//DLTR//DVA//ETN//FTI//HBAN//IT//ITW//JBHT//JNPR//K//KSU//MAT//MS//MU//NTRS//OKE//PCAR//PCG//PDCO//PKI//PNW//QCOM//QRVO//REG//RTN//SJM//STX//STZ//UNP//URI//VLO//VRTX//WBA//WFC//ZBH,0.0027591788098510024//0.02511973240782877//0.011134201053060672//0.014086463413567216//0.014764209202487614//0.028277074998686907//0.022575000158663424//0.0031250694962688826//0.0022383867737067213//0.013767591209701968//0.14052412940043688//0.011365420760542776//0.0011134228434043114//0.008011616175905857//0.0014999098890980992//0.019881234596501922//0.009652500406718964//0.01951312677315371//0.003855026796099176//0.011841440688339425//0.024504377999243508//0.0314821905918971//0.0033482955395827685//0.015303500410919548//0.0018723220108641213//0.006913820281865803//0.015255574474760109//0.03171845226120167//0.003396001283152139//0.02354019297820475//0.003984053643043399//0.09459044238330472//0.0014146584385183556//0.0028561579941359144//0.11558762023524267//0.10944152993812864//0.022392475709824538//0.0069587307660292684//0.00706394612187108//0.03833811374572699//0.004995558049222615//0.003833380951814629//0.011924430004464305//0.016768799410515484//0.02634285441954502//0.01106778450289653,"[0.0027591788098510024, 0.02511973240782877, 0.011134201053060672, 0.014086463413567216, 0.014764209202487614, 0.028277074998686907, 0.022575000158663424, 0.0031250694962688826, 0.0022383867737067213, 0.013767591209701968, 0.14052412940043688, 0.011365420760542776, 0.0011134228434043114, 0.008011616175905857, 0.0014999098890980992, 0.019881234596501922, 0.009652500406718964, 0.01951312677315371, 0.003855026796099176, 0.011841440688339425, 0.024504377999243508, 0.0314821905918971, 0.0033482955395827685, 0.015303500410919548, 0.0018723220108641213, 0.006913820281865803, 0.015255574474760109, 0.03171845226120167, 0.003396001283152139, 0.02354019297820475, 0.003984053643043399, 0.09459044238330472, 0.0014146584385183556, 0.0028561579941359144, 0.11558762023524267, 0.10944152993812864, 0.022392475709824538, 0.0069587307660292684, 0.00706394612187108, 0.03833811374572699, 0.004995558049222615, 0.003833380951814629, 0.011924430004464305, 0.016768799410515484, 0.02634285441954502, 0.01106778450289653]",-0.8895787952634636,0.9758200953843816,0.2738478774691472,0.4575291975562686,-0.1091140015424032,0.2021300564897337,-0.5838518209111432,-0.4600471808299715,RPS_sp500_KMEANS_clustering_50_HRP_weight_return
SYY//UPS,0.8125380045605525//0.18746199543944753,"[0.8125380045605525, 0.18746199543944753]",0.0907011716925264,0.0907011716925264,0.0907011716925264,0.0,0.8312086475764385,0.2028012187276365,4.054752001667232,3.5347428943491384,RPS_sp500_KMEANS_clustering_50_HRP_weight_return
ACN//ADP//ALK//ANSS//CF//COF//CVS//DRE//EA//EFX//ETFC//FLIR//FLS//FTV//HCA//HD//KIM//MCO//MGM//MOS//OMC//ORCL//PNC//T//WAT,0.0871831812349912//0.11686461102694684//0.0417653931879084//0.009984822623754391//0.006747800803583006//0.04179187620800539//0.05454353916673917//0.022666424936348274//0.1364697857529469//0.052194206069718314//0.0399282532704859//0.02648208570178257//0.020762361233420065//0.03134705361310374//0.010081289384545404//0.014659237777795263//0.08310736136229717//0.017499379120369883//0.015926477296776115//0.010611622580316438//0.05543721619145593//0.02530564568737842//0.0209100469830487//0.0427913557016015//0.014938973084681003,"[0.0871831812349912, 0.11686461102694684, 0.0417653931879084, 0.009984822623754391, 0.006747800803583006, 0.04179187620800539, 0.05454353916673917, 0.022666424936348274, 0.1364697857529469, 0.052194206069718314, 0.0399282532704859, 0.02648208570178257, 0.020762361233420065, 0.03134705361310374, 0.010081289384545404, 0.014659237777795263, 0.08310736136229717, 0.017499379120369883, 0.015926477296776115, 0.010611622580316438, 0.05543721619145593, 0.02530564568737842, 0.0209100469830487, 0.0427913557016015, 0.014938973084681003]",-0.7003078044830834,0.9505474044228248,0.2952051566800344,0.4969676353492217,-0.0049635774016889,0.2505194308465022,-0.0553393297870911,-0.0175830106082915,RPS_sp500_KMEANS_clustering_50_HRP_weight_return
MYL//RL,0.17119674470604573//0.8288032552939543,"[0.17119674470604573, 0.8288032552939543]",0.3659914958295468,0.3659914958295468,0.3659914958295468,0.0,-1.129737770284874,0.3873517713349672,-2.9395445033352456,-4.795981985425993,RPS_sp500_KMEANS_clustering_50_HRP_weight_return
EXPE//HII,0.4020782891577206//0.5979217108422794,"[0.4020782891577206, 0.5979217108422794]",0.7131323235896331,0.7131323235896331,0.7131323235896331,0.0,0.1612366229164067,0.2077415455227481,0.7332987849545269,0.6884883696202602,RPS_sp500_KMEANS_clustering_50_HRP_weight_return
AEP//AJG//ALLE//APD//ARNC//AXP//CHTR//CINF//EL//EQT//FIS//GPN//HSY//ICE//IDXX//INFO//KMI//KR//LMT//MAC//MCK//MDLZ//MMC//MSI//NOC//RMD//RRC//SRE//UA//UNH//VMC//VRSN//XEL,0.028671417692713325//0.018949375591783422//0.009775007277784268//0.006235500536181082//0.006285918434173485//0.022421768519988866//0.02114270235837265//0.008202815810939868//0.07597242090482483//0.008912158299995306//0.011076139250114012//0.005172400085136034//0.00786375388001401//0.01773277011595217//0.006494851646432552//0.007659917948553584//0.31353952267950874//0.04935963052967804//0.012385503588487506//0.0156842792033125//0.008856730803381544//0.03242415692895975//0.03127250291032042//0.009831064130664379//0.006243201794030261//0.007951594730587068//0.004744801383190366//0.019604904927170586//0.027378559411488715//0.13173932899915675//0.020143686745915722//0.010366887623580132//0.03590472525760794,"[0.028671417692713325, 0.018949375591783422, 0.009775007277784268, 0.006235500536181082, 0.006285918434173485, 0.022421768519988866, 0.02114270235837265, 0.008202815810939868, 0.07597242090482483, 0.008912158299995306, 0.011076139250114012, 0.005172400085136034, 0.00786375388001401, 0.01773277011595217, 0.006494851646432552, 0.007659917948553584, 0.31353952267950874, 0.04935963052967804, 0.012385503588487506, 0.0156842792033125, 0.008856730803381544, 0.03242415692895975, 0.03127250291032042, 0.009831064130664379, 0.006243201794030261, 0.007951594730587068, 0.004744801383190366, 0.019604904927170586, 0.027378559411488715, 0.13173932899915675, 0.020143686745915722, 0.010366887623580132, 0.03590472525760794]",-0.8667636841095485,0.9647104369481644,0.2748130655087981,0.5375858688509062,0.0816260224039789,0.218900016100645,0.3322339746678742,0.3502771852952701,RPS_sp500_KMEANS_clustering_50_HRP_weight_return
