,dataset,method,train_or_test,corr_min,corr_max,corr_mean,corr_std,return,sigma,sharpe,information,modigliani
0,sp500,MVOvolatility,train,-0.9722735241070932,0.9994174462502591,0.16207477756348687,0.4986869414626078,0.027746972203629913,0.11483811205547881,0.1641177468550237,0.24209849098079167,0.02763580519209583
1,sp500,MVOvolatility,test,-0.9459087876894245,0.9979094418372044,0.24848104956932043,0.4856307190640007,-0.21870205911282256,0.24200304558582264,-0.9404925403391545,-0.9236140506505823,-0.21295706444592355
2,sp500,MVOrisk,train,-0.9722735241070932,0.9994174462502591,0.16207477756348687,0.4986869414626078,0.027746972203629913,0.11483811205547881,0.1641177468550237,0.24209849098079167,0.02763580519209583
3,sp500,MVOrisk,test,-0.9459087876894245,0.9979094418372044,0.24848104956932043,0.4856307190640007,-0.21870205911282256,0.24200304558582264,-0.9404925403391545,-0.9236140506505823,-0.21295706444592355
4,sp500,MVOreturn,train,-0.9722735241070932,0.9994174462502591,0.16207477756348687,0.4986869414626078,0.027746972203629913,0.11483811205547881,0.1641177468550237,0.24209849098079167,0.02763580519209583
5,sp500,MVOreturn,test,-0.9459087876894245,0.9979094418372044,0.24848104956932043,0.4856307190640007,-0.21870205911282256,0.24200304558582264,-0.9404925403391545,-0.9236140506505823,-0.21295706444592355
6,sp500,MVOsharpe,train,-0.9722735241070932,0.9994174462502591,0.16207477756348687,0.4986869414626078,0.027746972203629913,0.11483811205547881,0.1641177468550237,0.24209849098079167,0.02763580519209583
7,sp500,MVOsharpe,test,-0.9459087876894245,0.9979094418372044,0.24848104956932043,0.4856307190640007,-0.21870205911282256,0.24200304558582264,-0.9404925403391545,-0.9236140506505823,-0.21295706444592355
8,sp500,CLAvolatility,train,-0.9722735241070932,0.9994174462502591,0.16207477756348687,0.4986869414626078,0.027746972203629913,0.11483811205547881,0.1641177468550237,0.24209849098079167,0.02763580519209583
9,sp500,CLAvolatility,test,-0.9459087876894245,0.9979094418372044,0.24848104956932043,0.4856307190640007,-0.21870205911282256,0.24200304558582264,-0.9404925403391545,-0.9236140506505823,-0.21295706444592355
10,sp500,CLAsharpe,train,-0.9722735241070932,0.9994174462502591,0.16207477756348687,0.4986869414626078,0.027746972203629913,0.11483811205547881,0.1641177468550237,0.24209849098079167,0.02763580519209583
11,sp500,CLAsharpe,test,-0.9459087876894245,0.9979094418372044,0.24848104956932043,0.4856307190640007,-0.21870205911282256,0.24200304558582264,-0.9404925403391545,-0.9236140506505823,-0.21295706444592355
12,sp500,HRP,train,-0.9722735241070932,0.9994174462502591,0.16207477756348687,0.4986869414626078,-0.011727449633495333,0.09529496355562533,-0.21645896974874992,-0.10368078585791282,-0.01581111849272992
13,sp500,HRP,test,-0.9459087876894245,0.9979094418372044,0.24848104956932043,0.4856307190640007,-0.04698286687442856,0.20288983638398822,-0.275434530730583,-0.19566509064512047,-0.05607350464139949
14,indextrack1,MVOvolatility,train,-0.06963298107764923,0.9794132236816505,0.734179475214487,0.20326571151565934,1.2144458536335985,0.5814045454544742,2.073506069154041,2.0856968440168138,1.2114802640106896
15,indextrack1,MVOvolatility,test,-0.697068182304739,0.978088354026243,0.35956276678395827,0.4376760550717401,0.860277835456444,0.41002815508261997,2.076388718440305,2.101495701239035,0.8555643891884321
16,indextrack1,MVOrisk,train,-0.06963298107764923,0.9794132236816505,0.734179475214487,0.20326571151565934,1.2144458536335985,0.5814045454544742,2.073506069154041,2.0856968440168138,1.2114802640106896
17,indextrack1,MVOrisk,test,-0.697068182304739,0.978088354026243,0.35956276678395827,0.4376760550717401,0.860277835456444,0.41002815508261997,2.076388718440305,2.101495701239035,0.8555643891884321
18,indextrack1,MVOreturn,train,-0.06963298107764923,0.9794132236816505,0.734179475214487,0.20326571151565934,1.2144458536335985,0.5814045454544742,2.073506069154041,2.0856968440168138,1.2114802640106896
19,indextrack1,MVOreturn,test,-0.697068182304739,0.978088354026243,0.35956276678395827,0.4376760550717401,0.860277835456444,0.41002815508261997,2.076388718440305,2.101495701239035,0.8555643891884321
20,indextrack1,MVOsharpe,train,-0.06963298107764923,0.9794132236816505,0.734179475214487,0.20326571151565934,1.2144458536335985,0.5814045454544742,2.073506069154041,2.0856968440168138,1.2114802640106896
21,indextrack1,MVOsharpe,test,-0.697068182304739,0.978088354026243,0.35956276678395827,0.4376760550717401,0.860277835456444,0.41002815508261997,2.076388718440305,2.101495701239035,0.8555643891884321
22,indextrack1,CLAvolatility,train,-0.06963298107764923,0.9794132236816505,0.734179475214487,0.20326571151565934,1.2144458536335985,0.5814045454544742,2.073506069154041,2.0856968440168138,1.2114802640106896
23,indextrack1,CLAvolatility,test,-0.697068182304739,0.978088354026243,0.35956276678395827,0.4376760550717401,0.860277835456444,0.41002815508261997,2.076388718440305,2.101495701239035,0.8555643891884321
24,indextrack1,CLAsharpe,train,-0.06963298107764923,0.9794132236816505,0.734179475214487,0.20326571151565934,1.2144458536335985,0.5814045454544742,2.073506069154041,2.0856968440168138,1.2114802640106896
25,indextrack1,CLAsharpe,test,-0.697068182304739,0.978088354026243,0.35956276678395827,0.4376760550717401,0.860277835456444,0.41002815508261997,2.076388718440305,2.101495701239035,0.8555643891884321
26,indextrack1,HRP,train,-0.06963298107764923,0.9794132236816505,0.734179475214487,0.20326571151565934,0.7817978977211982,0.48624729398699323,1.5895160904316985,1.3397190583848042,0.9307785071897392
27,indextrack1,HRP,test,-0.697068182304739,0.978088354026243,0.35956276678395827,0.4376760550717401,0.8508883985587742,0.40755390854214907,2.065955891750934,2.078468724911949,0.8513103192457385
