min,max,ptmean,config
0.074074074074074,0.45,0.2281900802699011,Mantegna_sp500_MVO_weight_volatility
0.074074074074074,0.45,0.21441681842730176,Mantegna_sp500_MVO_weight_risk
0.1578947368421052,0.6153846153846154,0.33264063282860273,Mantegna_indextrack4_CLA_weight_sharpe
0.1333333333333333,0.6666666666666666,0.4064639445521799,Mantegna_indextrack2_CLA_weight_sharpe
0.1666666666666666,0.75,0.3532468931628595,Mantegna_indextrack3_uniform_weight_returns_return
0.1666666666666666,0.4444444444444444,0.3374885215794307,Mantegna_indextrack1_CLA_weight_volatility
0.1333333333333333,0.6666666666666666,0.4064639445521799,Mantegna_indextrack2_CLA_weight_volatility
0.1,0.75,0.3576950912864226,Mantegna_indextrack3_CLA_weight_volatility
0.074074074074074,0.45,0.2281900802699011,Mantegna_sp500_HRP_weight
0.074074074074074,0.45,0.22361254487332707,Mantegna_sp500_CLA_weight_volatility
0.1333333333333333,0.6666666666666666,0.3446873216223061,Mantegna_indextrack2_MVO_weight_sharpe
0.1578947368421052,0.6153846153846154,0.3365980787134374,Mantegna_indextrack4_MVO_weight_volatility
0.1904761904761904,0.8333333333333334,0.36096533559548016,Mantegna_indextrack5_CLA_weight_sharpe
0.074074074074074,0.45,0.22361254487332707,Mantegna_sp500_CLA_weight_sharpe
0.1,0.75,0.3576950912864226,Mantegna_indextrack3_CLA_weight_sharpe
0.1904761904761904,0.8333333333333334,0.3572723082811983,Mantegna_indextrack5_MVO_weight_volatility
0.1333333333333333,0.6666666666666666,0.39391123970955905,Mantegna_indextrack2_HRP_weight
0.1666666666666666,0.4444444444444444,0.3374885215794307,Mantegna_indextrack1_CLA_weight_sharpe
0.1333333333333333,0.6666666666666666,0.39391123970955905,Mantegna_indextrack2_MVO_weight_volatility
0.1666666666666666,0.4444444444444444,0.3374885215794307,Mantegna_indextrack1_MVO_weight_sharpe
0.1666666666666666,0.4444444444444444,0.3374885215794307,Mantegna_indextrack1_MVO_weight_volatility
0.1578947368421052,0.6153846153846154,0.33659807871343744,Mantegna_indextrack4_uniform_weight_returns_return
0.1666666666666666,0.75,0.3532468931628595,Mantegna_indextrack3_MVO_weight_volatility
0.1578947368421052,0.6153846153846154,0.3365980787134374,Mantegna_indextrack4_HRP_weight
0.1081081081081081,0.1851851851851851,0.058302088084256694,Mantegna_sp500_MVO_weight_return
0.1666666666666666,0.4444444444444444,0.3374885215794307,Mantegna_indextrack1_uniform_weight_returns_return
0.1578947368421052,0.6153846153846154,0.32664546612970474,Mantegna_indextrack4_MVO_weight_return
0.1904761904761904,0.8333333333333334,0.36096533559548016,Mantegna_indextrack5_CLA_weight_volatility
0.1578947368421052,0.6153846153846154,0.3365980787134374,Mantegna_indextrack4_MVO_weight_sharpe
0.1666666666666666,0.4444444444444444,0.3374885215794307,Mantegna_indextrack1_HRP_weight
0.074074074074074,0.45,0.2281900802699011,Mantegna_sp500_uniform_weight_returns_return
0.1666666666666666,0.75,0.3532468931628595,Mantegna_indextrack3_HRP_weight
0.1904761904761904,0.8333333333333334,0.3572723082811984,Mantegna_indextrack5_MVO_weight_sharpe
0.1904761904761904,0.8333333333333334,0.3572723082811983,Mantegna_indextrack5_HRP_weight
0.074074074074074,0.45,0.19213495095837374,Mantegna_sp500_MVO_weight_sharpe
0.1333333333333333,0.6666666666666666,0.39391123970955905,Mantegna_indextrack2_uniform_weight_returns_return
0.1666666666666666,0.4444444444444444,0.3374885215794307,Mantegna_indextrack1_MVO_weight_return
0.1666666666666666,0.75,0.3532468931628595,Mantegna_indextrack3_MVO_weight_sharpe
0.1904761904761904,0.8333333333333334,0.3572723082811984,Mantegna_indextrack5_uniform_weight_returns_return
0.1666666666666666,0.75,0.34336913086913085,Mantegna_indextrack3_MVO_weight_return
0.1333333333333333,0.6666666666666666,0.27427606094885504,Mantegna_indextrack2_MVO_weight_return
0.1578947368421052,0.6153846153846154,0.33264063282860273,Mantegna_indextrack4_CLA_weight_volatility
0.1904761904761904,0.625,0.2979662835623002,Mantegna_indextrack5_MVO_weight_return
0.1818181818181818,0.1818181818181818,0.09956709956709954,Mantegna_indextrack1_MVO_weight_risk
