stocks,weights,corr_min,corr_max,corr_mean,corr_std,return,sigma,sharpe,information,modigliani,config
51//84//86//76,0.25//0.25//0.25//0.25,-0.1964267184031453,0.8978654814388588,0.2520293370853335,0.4309229513725293,1.6322748678355508,0.4575741710725499,3.547785190825728,8.247950570550966,0.7097758507475596,Splex_indextrack4_uniform_weight_returns_2_return
81//82//3//21//38//29,0.2401224442459304//0.0//0.0509521491374528//0.5725616856936303//0.1363637209229866//0.0,-0.3864486187566343,0.958221757006004,0.0406590664199066,0.3995026955358209,0.5035430412995039,0.4352157019478571,1.1365468642001495,1.668463241079458,0.34973982183868,Splex_indextrack3_MVO_weight_2_return
51//84//86//76,0.0//0.6119832619295343//0.38801673807046577//1.9770830730257846e-17,-0.1964267184031453,0.8978654814388588,0.2520293370853335,0.4309229513725293,1.9148529135501355,0.6488330431228403,2.937509015226419,9.678341137966544,0.589213919639047,Splex_indextrack4_CLA_weight_2_sharpe
3//46//74//85,0.017562295382025177//0.07220113134239432//0.6171804177257747//0.2930561555498058,-0.0555756533842979,0.9671570568994412,0.3145213819570384,0.4233395688774752,0.4887916987044509,0.3562331083193149,1.347128291832697,1.8793584998050603,0.3587909439361752,Splex_indextrack2_HRP_weight_2
10//29//23,0.3333333333333333//0.3333333333333333//0.3333333333333333,-0.0696329810776492,0.7684837896314567,0.2496352495735047,0.4054470670883191,2.4028065739561155,0.6869737192454273,3.484713471405551,4.134685372828312,2.0299443117507807,Splex_indextrack1_uniform_weight_returns_2_return
10//29//23,0.2243240493092415//0.7756759506907585//0.0,-0.0696329810776492,0.7684837896314567,0.2496352495735047,0.4054470670883191,2.250589450930284,1.0301467058821918,2.1760875787207,3.8722304350010406,1.2709749048475103,Splex_indextrack1_MVO_weight_2_sharpe
10//29//23,0.2238689961352198//0.7761310038647802//0.0,-0.0696329810776492,0.7684837896314567,0.2496352495735047,0.4054470670883191,2.250080896933349,1.0304755273453623,2.174899682195189,3.8713535789352176,1.2702859553727452,Splex_indextrack1_CLA_weight_2_sharpe
10//29//23,0.084411176649144//0.9155888233508562//0.0,-0.0696329810776492,0.7684837896314567,0.2496352495735047,0.4054470670883191,2.0942269538069445,1.140113600394926,1.829051905954463,3.602627983941324,1.0697031279355596,Splex_indextrack1_MVO_weight_2_return
10//29//23,0.084411176649144//0.915588823350856//0.0,-0.0696329810776492,0.7684837896314567,0.2496352495735047,0.4054470670883191,2.094226953806944,1.1401136003949257,1.8290519059544623,3.6026279839413218,1.069703127935559,Splex_indextrack1_MVO_weight_2_volatility
74//3//85//46,0.9139236386905683//0.0//0.0//0.0860763613094318,-0.0555756533842979,0.9671570568994412,0.3145213819570384,0.4233395688774752,0.3997464798938446,0.3914097820777746,0.9985608377467222,1.5365221515339764,0.2682571794276367,Splex_indextrack2_MVO_weight_2_volatility
74//3//85//46,0.9121796499492114//0.019654223535462//0.0//0.0681661265153266,-0.0555756533842979,0.9671570568994412,0.3145213819570384,0.4233395688774752,0.4283360695049128,0.3898209123352654,1.075971186338451,1.6465960065005731,0.288363044699266,Splex_indextrack2_MVO_weight_2_return
51//84//86//76,0.0//0.1749261094780906//0.3328461694288144//0.492227721093095,-0.1964267184031453,0.8978654814388588,0.2520293370853335,0.4309229513725293,0.8188359416265837,0.4780413555721508,1.694280070512309,4.130378859430908,0.3436102267904135,Splex_indextrack4_MVO_weight_2_return
81//82//3//21//38//29,0.24012244424592985//0.0//0.05095214913745331//0.5725616856936303//0.13636372092298665//0.0,-0.3864486187566343,0.958221757006004,0.0406590664199066,0.3995026955358209,0.5035430412995041,0.435215701947857,1.1365468642001502,1.6684632410794586,0.3497398218386802,Splex_indextrack3_CLA_weight_2_volatility
51//84//86//76,0.0//0.6140108205442603//0.3859891794557398//0.0,-0.1964267184031453,0.8978654814388588,0.2520293370853335,0.4309229513725293,1.9193392298912844,0.6499409584550285,2.9394042720935456,9.701050561696167,0.5895883334487013,Splex_indextrack4_MVO_weight_2_sharpe
51//84//86//76,0.0//0.17492610947809048//0.33284616942881434//0.4922277210930952,-0.1964267184031453,0.8978654814388588,0.2520293370853335,0.4309229513725293,0.8188359416265835,0.4780413555721508,1.6942800705123089,4.130378859430906,0.3436102267904135,Splex_indextrack4_CLA_weight_2_volatility
74//3//85//46,0.3166795650111084//0.6833204349888916//0.0//0.0,-0.0555756533842979,0.9671570568994412,0.3145213819570384,0.4233395688774752,2.15278371760219,0.6081097262417824,3.525488287864991,8.285956798187572,0.9245785083912468,Splex_indextrack2_MVO_weight_2_sharpe
3//21//29//38//81//82,0.13380521381711188//0.5083367860950906//0.011989542461509772//0.00720707516157745//0.21610261343514248//0.12255876902956785,-0.3864486187566343,0.958221757006004,0.0406590664199066,0.3995026955358209,0.2173709104327753,0.429342404965731,0.4855586311103255,0.7142084353954102,0.1545145122852866,Splex_indextrack3_HRP_weight_2
10//29//23,0.08441117664914399//0.915588823350856//0.0,-0.0696329810776492,0.7684837896314567,0.2496352495735047,0.4054470670883191,2.094226953806944,1.1401136003949257,1.8290519059544623,3.6026279839413218,1.069703127935559,Splex_indextrack1_CLA_weight_2_volatility
74//3//85//46,0.25//0.25//0.25//0.25,-0.0555756533842979,0.9671570568994412,0.3145213819570384,0.4233395688774752,1.3691384252805907,0.3605011354895174,3.7731876306951135,5.268814564747837,0.9889137000731728,Splex_indextrack2_uniform_weight_returns_2_return
81//82//3//21//38//29,0.2401224442459304//0.0//0.0509521491374528//0.5725616856936303//0.1363637209229866//0.0,-0.3864486187566343,0.958221757006004,0.0406590664199066,0.3995026955358209,0.5035430412995039,0.4352157019478571,1.1365468642001495,1.668463241079458,0.34973982183868,Splex_indextrack3_MVO_weight_2_volatility
74//3//85//46,0.9139236386905681//0.0//0.0//0.08607636130943175,-0.0555756533842979,0.9671570568994412,0.3145213819570384,0.4233395688774752,0.3997464798938445,0.3914097820777746,0.998560837746722,1.5365221515339764,0.2682571794276366,Splex_indextrack2_CLA_weight_2_volatility
81//82//3//21//38//29,0.16666666666666666//0.16666666666666666//0.16666666666666666//0.16666666666666666//0.16666666666666666//0.16666666666666666,-0.3864486187566343,0.958221757006004,0.0406590664199066,0.3995026955358209,0.9335319059052932,0.4051400526365011,2.282252519562388,3.102281898395844,0.693326279866569,Splex_indextrack3_uniform_weight_returns_2_return
81//82//3//21//38//29,0.091367113713491//0.055077486085084//0.1956961300739808//0.2634303224902082//0.394428947637236//0.0,-0.3864486187566343,0.958221757006004,0.0406590664199066,0.3995026955358209,1.1384106973042452,0.4323670298485663,2.6123885942456084,3.7854601334079656,0.7923310146662546,Splex_indextrack3_MVO_weight_2_sharpe
51//76//84//86,0.009252182834347507//0.7028833492333495//0.006020327425162312//0.28184414050714063,-0.1964267184031453,0.8978654814388588,0.2520293370853335,0.4309229513725293,0.4115237990941475,0.5090575917019403,0.7909199384455675,2.068592901505879,0.1651486607601588,Splex_indextrack4_HRP_weight_2
74//3//85//46,0.20485344124172009//0.7838876595662695//0.011258899192010292//0.0,-0.0555756533842979,0.9671570568994412,0.3145213819570384,0.4233395688774752,2.4310294391096696,0.6840447444329283,3.540893280479203,9.357241122689842,0.9285796621342086,Splex_indextrack2_CLA_weight_2_sharpe
51//84//86//76,0.0//0.1749261094780906//0.3328461694288144//0.492227721093095,-0.1964267184031453,0.8978654814388588,0.2520293370853335,0.4309229513725293,0.8188359416265837,0.4780413555721508,1.694280070512309,4.130378859430908,0.3436102267904135,Splex_indextrack4_MVO_weight_2_volatility
81//82//3//21//38//29,0.09315684525321521//0.05440462057499766//0.19395013528320132//0.2671407718873126//0.39134762700127335//0.0,-0.3864486187566343,0.958221757006004,0.0406590664199066,0.3995026955358209,1.1308295992129118,0.4315862586132283,2.599548935635469,3.7601805953058234,0.7884805206030562,Splex_indextrack3_CLA_weight_2_sharpe
10//23//29,0.05144972372661544//0.09717131660059547//0.8513789596727891,-0.0696329810776492,0.7684837896314567,0.2496352495735047,0.4054470670883191,2.0662497718407837,1.0649031898418808,1.931959441445812,3.5543893271624465,1.129386855435024,Splex_indextrack1_HRP_weight_2
